Position,Account Manager 07/25,Account Manager 08/25,Account Manager 09/25,Account Manager 10/25,Account Manager 11/25,Account Manager 12/25,Bookmaker 01/26,Bookmaker 02/26,Bookmaker 03/26,Bookmaker 04/25,Bookmaker 05/25,Bookmaker 06/25,Bookmaker 07/25,Bookmaker 08/25,Bookmaker 09/25,Bookmaker 10/25,Bookmaker 11/25,Bookmaker 12/25,Bookmakers 04/26,Bookmarker 05/26,Bookmarker 06/26,Bookmarker 07/26,Bookmarker 08/26,Bookmarker 09/26,Bookmarker 10/26,Bookmarker 11/26,Bookmarker 12/26,Formula Market,Formula site,Market,Page,Price 01/25,"Price 01/26 ",Price 02/25,"Price 02/26 ",Price 03/25,"Price 03/26 ",Price 04/25,"Price 04/26 ",Price 05/25,"Price 05/26 ",Price 06/25,Price 06/26,Price 07/25,"Price 07/26 ",Price 08/25,"Price 08/26 ",Price 09/25,Price 09/26,Price 10/25,Price 10/26,Price 11/25,"Price 11/26 ",Price 12/25,Price 12/26,Site,Status 01/25,"Status 01/26 ","Status 02/26 ",Status 03/25,"Status 03/26 ",Status 04/26,"Status 05/26 ",Status 06/25,"Status 06/26 ",Status 07/25,Status 07/26,Status 08/25,"Status 08/26 ",Status 09/25,"Status 09/26 ",Status 10/25,"Status 10/26 ",Status 11/25,"Status 11/26 ",Status 12/25,Status 12/26,Topic,Traffic,Traffic 30 days (18/09),URL,Url
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Placar,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Apps de Apostas (https://www.notion.so/Apps-de-Apostas-162258225041812eb4a4f9ec49f5b673?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/04c70f17692b41cf854a3ab1d5b1b83a,,,,,,,,,,,,,,,,,,,,,,,363,,,https://placar.com.br/apostas/apps/
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Portugal,Observador,https://www.notion.so/1612582250418087810ecf77a924a7bc,Casinos Online (https://www.notion.so/Casinos-Online-16225822504181a4a9b3ff2daf16d0b5?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/c076070ec10740d08926e811846418ee,,,,,,,,,,,,,,,,,,,,,,,6833,,,https://observador.pt/prognosticos/melhores-casinos-online/
2,,https://www.notion.so/22a25822504180979da3cdeb955665c6,,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,BetGorillas (https://www.notion.so/BetGorillas-26c25822504180b280d8ec8a7fee8554?pvs=21),BetGorillas (https://www.notion.so/BetGorillas-26c25822504180b280d8ec8a7fee8554?pvs=21),Betboom (https://www.notion.so/Betboom-15b25822504180be8dd6f3de72b3e7f3?pvs=21),,,,,Superbet BR (https://www.notion.so/Superbet-BR-15b2582250418092a198fd0f9e71840c?pvs=21),,BetGorillas (https://www.notion.so/BetGorillas-26c25822504180b280d8ec8a7fee8554?pvs=21),BetGorillas (https://www.notion.so/BetGorillas-26c25822504180b280d8ec8a7fee8554?pvs=21),BetGorillas (https://www.notion.so/BetGorillas-26c25822504180b280d8ec8a7fee8554?pvs=21),,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Cassinos com Bônus sem Depósito (https://www.notion.so/Cassinos-com-B-nus-sem-Dep-sito-1622582250418149879aef0841b87896?pvs=21),,€700.00,,€700.00,,,,,,,,,,,€500.00,,,,€700.00,,€700.00,,€700.00,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,Sold,Sold,,Sold,,,,,,,Sold,,,,Sold,,Sold,,Sold,,,35198,,,https://www.umdoisesportes.com.br/apostas/cassino/bonus-sem-deposito/
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Premier League Brasil,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Novas casas de apostas (https://www.notion.so/Novas-casas-de-apostas-16225822504181f5b944fbc51a0144af?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/2d27526bb3ef413a8184be93fc98f6ec,,,,,,,,,,,,,,,,,,,,,,,,,,https://premierleaguebrasil.com.br/novas-casas-aposta-com-bonus/
3,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),Novibet BR (https://www.notion.so/Novibet-BR-15b25822504180268f20ddfab1e7381a?pvs=21),,,,,,,,,,@Brazil,Premier League Brasil,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Apps de apostas (https://www.notion.so/Apps-de-apostas-16225822504181c18969e8b651c34d6f?pvs=21),,,,"€1,000.00",,"€1,000.00",€300.00,,€300.00,,€300.00,,€300.00,,€600.00,,€600.00,,€600.00,,€600.00,,€600.00,,https://www.notion.so/2d27526bb3ef413a8184be93fc98f6ec,,Sold,Sold,,Sold,,,Sold,,Sold,,Sold,,Sold,,Sold,,Sold,,Sold,,,,,,https://premierleaguebrasil.com.br/app-de-apostas/
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Novas casas de apostas (https://www.notion.so/Novas-casas-de-apostas-162258225041814c9a60e8f154df2398?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,,,,,,,,,,,,,,,,,,,,,,379,,,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/novas-casas-de-apostas/
2,,,,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,Oleybet (https://www.notion.so/Oleybet-15b258225041804d9e62d4a50d2027b5?pvs=21),,,,,,,,,Oleybet (https://www.notion.so/Oleybet-15b258225041804d9e62d4a50d2027b5?pvs=21),Oleybet (https://www.notion.so/Oleybet-15b258225041804d9e62d4a50d2027b5?pvs=21),Oleybet (https://www.notion.so/Oleybet-15b258225041804d9e62d4a50d2027b5?pvs=21),,,,,,,,,,@Brazil,Placar,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de Apostas (https://www.notion.so/Casas-de-Apostas-1622582250418144841cd292fef516c4?pvs=21),,€200.00,,,,,,,,,,,,,,,,,€200.00,,€200.00,,€200.00,,https://www.notion.so/04c70f17692b41cf854a3ab1d5b1b83a,,Sold,,,,,,,,,,,,,,Sold,,Sold,,Sold,,,624,,,https://placar.com.br/apostas/casas/
Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Trivela,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de apostas (https://www.notion.so/Casas-de-apostas-1622582250418147901de9abdf3c9126?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4ac3c78012d94951836307a829f1608b,,,,,,,,,,,,,,,,,,,,,,,4243,,,https://trivela.com.br/apostas/casas/
7,,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,https://www.notion.so/22a25822504180b48810f528c3b1be81,BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),,,,,BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),BetdaSorte (https://www.notion.so/BetdaSorte-15b2582250418015b6dcef2bc2849036?pvs=21),,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de apostas legalizadas no Brasil (https://www.notion.so/Casas-de-apostas-legalizadas-no-Brasil-16225822504181deb740fac86d49480d?pvs=21),,€100.00,,€100.00,,€100.00,,,,,,,,,€100.00,,€100.00,,€100.00,,€100.00,,€100.00,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,Sold,Sold,,Sold,,,,,,,Sold,,Sold,,Sold,,Sold,,Sold,,,4790,,,https://www.umdoisesportes.com.br/apostas/apostas-esportivas/casas-de-apostas-legais/
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Premier League Brasil,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Palpites matches (https://www.notion.so/Palpites-matches-16225822504181f5abf4f1c372af6798?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/2d27526bb3ef413a8184be93fc98f6ec,,,,,,,,,,,,,,,,,,,,,,,,,,https://premierleaguebrasil.com.br/category/prognostico-palpites/
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Placar,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de Apostas com Cash Out (https://www.notion.so/Casas-de-Apostas-com-Cash-Out-162258225041817cb19cc3487e7391e0?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/04c70f17692b41cf854a3ab1d5b1b83a,,,,,,,,,,,,,,,,,,,,,,,93,,,https://placar.com.br/apostas/casas/cash-out/
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Trivela,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Banca de apostas esportivas (https://www.notion.so/Banca-de-apostas-esportivas-162258225041819d896ad48ba7610347?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4ac3c78012d94951836307a829f1608b,,,,,,,,,,,,,,,,,,,,,,,85,,,https://trivela.com.br/apostas/guias/gestao-de-banca/
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Trivela,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de apostas com cash out (https://www.notion.so/Casas-de-apostas-com-cash-out-16225822504181a7aac5c14d044c2ed6?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4ac3c78012d94951836307a829f1608b,,,,,,,,,,,,,,,,,,,,,,,75,,,https://trivela.com.br/apostas/casas/casas-de-apostas-com-cash-out/
5,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,https://www.notion.so/22a25822504180979da3cdeb955665c6,Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),Esportiva Bet (https://www.notion.so/Esportiva-Bet-15b25822504180799291c26932b83474?pvs=21),,,,,,,,,,@Brazil,Trivela,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Novas casas de apostas (https://www.notion.so/Novas-casas-de-apostas-16225822504181158aadc9e82d95fccf?pvs=21),,€750.00,,€750.00,,€750.00,€375.00,,€750.00,,€750.00,,€750.00,,€750.00,,€750.00,,€750.00,,€750.00,,€750.00,,https://www.notion.so/4ac3c78012d94951836307a829f1608b,,Sold,Sold,,Sold,,,Sold,,Sold,,Sold,,Sold,,Sold,,Sold,,Sold,,,448,,,https://trivela.com.br/apostas/casas/novas-casas-de-apostas/
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Cassinos online (https://www.notion.so/Cassinos-online-162258225041819c80c4d9509c83b43e?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,,,,,,,,,,,,,,,,,,,,,,414,,,https://www.umdoisesportes.com.br/apostas/cassino/melhores-cassinos/
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Quinto Quarto,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Apps de apostas (https://www.notion.so/Apps-de-apostas-162258225041811a9677e718eb1965b7?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/eaa2ff9ecbd64d7fb32ddf89b4df7f8f,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.quintoquartobr.com/dicas-de-apostas/quinto-quarto-apostas/app-de-apostas/
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Lakers Brasil,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Apps de Apostas (https://www.notion.so/Apps-de-Apostas-162258225041816c8d2ff14b21c414c5?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/eb6ad6f82fe24bcd8aa6972cfccc2ba1,,,,,,,,,,,,,,,,,,,,,,,94,,,https://lakersbrasil.com/apostas/apps-de-apostas/
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Placar,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Casas de Apostas com Cash Out (https://www.notion.so/Casas-de-Apostas-com-Cash-Out-162258225041817cb19cc3487e7391e0?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/04c70f17692b41cf854a3ab1d5b1b83a,,,,,,,,,,,,,,,,,,,,,,,93,,,https://placar.com.br/apostas/casas/cash-out/
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Trivela,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Apostas Euro (https://www.notion.so/Apostas-Euro-16225822504181e4a34bf7f56ef1f7f5?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4ac3c78012d94951836307a829f1608b,,,,,,,,,,,,,,,,,,,,,,,2,,,https://trivela.com.br/apostas/guias/onde-apostar/eurocopa/
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,Trivela,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Banca de apostas esportivas (https://www.notion.so/Banca-de-apostas-esportivas-162258225041819d896ad48ba7610347?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4ac3c78012d94951836307a829f1608b,,,,,,,,,,,,,,,,,,,,,,,85,,,https://trivela.com.br/apostas/guias/gestao-de-banca/
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,@Brazil,UmDois Esportes,https://www.notion.so/16125822504180ebbde2cd2d3093abaa,Cassinos online (https://www.notion.so/Cassinos-online-162258225041819c80c4d9509c83b43e?pvs=21),,,,,,,,,,,,,,,,,,,,,,,,,https://www.notion.so/4a935835ea9d4a99ad9c6bc9d3e72fbe,,,,,,,,,,,,,,,,,,,,,,,414,,,https://www.umdoisesportes.com.br/apostas/cassino/melhores-cassinos/
