Article,Area,BU - Positions,Fees 01/26,Fees 02/26,Fees 03/26,Fees 04/26,Fees 05/26,Fees 06/26,Fees 07/26,Fees 08/26,Fees 09/26,Fees 10/26,Fees 11/26,Fees 12/25,Fees 12/26,Market,Nb pos.,Site,Sold pos. 02/26,Tags,Topic,Traffic 30 days (18/09),Traffic 30 days (19/02),Traffic July,URL
Apps de Apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"Banner (https://www.notion.so/Banner-1622582250418189a1dde7c2c0a28ee4?pvs=21), Link (https://www.notion.so/Link-16225822504181d8b3abd9f0cfb2486b?pvs=21), 1 (https://www.notion.so/1-16225822504181d6b088c4deb693225c?pvs=21), 2 (https://www.notion.so/2-162258225041813d840bd24e8ce20d8e?pvs=21), 3 (https://www.notion.so/3-1622582250418151939df7038b245685?pvs=21), 4 (https://www.notion.so/4-16225822504181f0b05cda60d99118c7?pvs=21), 5 (https://www.notion.so/5-162258225041815eada6e92c82bba4cc?pvs=21), 6 (https://www.notion.so/6-1622582250418125b97bedabb9db7087?pvs=21), 7 (https://www.notion.so/7-16225822504181c79f4eeaa6fbaea30b?pvs=21), 8 (https://www.notion.so/8-16225822504181dd93d2f4c83f5987ec?pvs=21), 9 (https://www.notion.so/9-16225822504181e39ed6cb03ccf76119?pvs=21), 10 (https://www.notion.so/10-16225822504181079f3dfba3f2d8938d?pvs=21)",2000,3000,3000,0,0,0,0,0,0,0,0,2300,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),12,Lakers Brasil (https://www.notion.so/Lakers-Brasil-eb6ad6f82fe24bcd8aa6972cfccc2ba1?pvs=21),2,Apps,Sports betting,94,59,80,https://lakersbrasil.com/apostas/apps-de-apostas/
Casas de Apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"Banner (https://www.notion.so/Banner-16225822504181c998d4e80dcb8b49d6?pvs=21), Link (https://www.notion.so/Link-16225822504181af95cdf51d44026086?pvs=21), 1 (https://www.notion.so/1-1622582250418161a25adb6f5370b29c?pvs=21), 2 (https://www.notion.so/2-16225822504181c1af7fdd0be9cb3202?pvs=21), 3 (https://www.notion.so/3-162258225041815894bdcaf263055455?pvs=21), 4 (https://www.notion.so/4-1622582250418111afe5fd6eeb3b5b1c?pvs=21), 5 (https://www.notion.so/5-1622582250418122b5cdc1e5cff64ccd?pvs=21), 6 (https://www.notion.so/6-1622582250418141b3cbf9574b9fd9c1?pvs=21), 7 (https://www.notion.so/7-16225822504181168ba1daab77ad22b1?pvs=21), 8 (https://www.notion.so/8-16225822504181bba0dadf89c33a4b72?pvs=21), 9 (https://www.notion.so/9-162258225041810dbb52d1993cd632dd?pvs=21), 10 (https://www.notion.so/10-162258225041810684c0ea8526809b35?pvs=21), 11 (https://www.notion.so/11-1622582250418103a65cf8b070114f73?pvs=21), 12 (https://www.notion.so/12-16225822504181e1aab6ec8685b13779?pvs=21), 13 (https://www.notion.so/13-162258225041817eb8c7fccc60cecce4?pvs=21), 14 (https://www.notion.so/14-16225822504181b881ffed2fce20ecd2?pvs=21), 15 (https://www.notion.so/15-16225822504181908abbfbca457a2791?pvs=21)",9900,10900,10650,0,0,0,0,0,0,0,0,10450,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),17,Lakers Brasil (https://www.notion.so/Lakers-Brasil-eb6ad6f82fe24bcd8aa6972cfccc2ba1?pvs=21),6,,Sports betting,"4,406","5,044","4,052",https://lakersbrasil.com/apostas/
Casas de apostas que pagam via Pix,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-16225822504180a9b2fbcd03cdb54324?pvs=21), 2 (https://www.notion.so/2-1622582250418090838bfd29cec2d782?pvs=21), 3 (https://www.notion.so/3-16225822504180ec81dcf113ac9e5b18?pvs=21), 4 (https://www.notion.so/4-16225822504180da9b9add5de84b1712?pvs=21), 5 (https://www.notion.so/5-16225822504180a0ab56d2a8824ded23?pvs=21), 6 (https://www.notion.so/6-162258225041805982c5c6b7fc7060ed?pvs=21), 7 (https://www.notion.so/7-1622582250418090abb6cdbc7e1645c7?pvs=21), 8 (https://www.notion.so/8-16225822504180188b26c399f0715c52?pvs=21), 9 (https://www.notion.so/9-16225822504180469c2cf90eaa9e1273?pvs=21), 10 (https://www.notion.so/10-162258225041803bb248c03ba87f5b3a?pvs=21)",750,750,750,0,0,0,0,0,0,0,0,750,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),10,Lakers Brasil (https://www.notion.so/Lakers-Brasil-eb6ad6f82fe24bcd8aa6972cfccc2ba1?pvs=21),1,Payment,Sports betting,7,13,21,https://lakersbrasil.com/apostas/casas-de-apostas-que-pagam-via-pix/
Novas casas de apostas,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-162258225041809ca431d00c520f9130?pvs=21), 2 (https://www.notion.so/2-162258225041807a9e55d128a773ee11?pvs=21), 3 (https://www.notion.so/3-16225822504180689629e3e2f8ecc246?pvs=21), 4 (https://www.notion.so/4-1622582250418022aa40faababd9365a?pvs=21), 5 (https://www.notion.so/5-1622582250418078b1bcde5f25d10f10?pvs=21), 6 (https://www.notion.so/6-162258225041800e81a5c5a3486d6fd5?pvs=21), 7 (https://www.notion.so/7-1622582250418001a07acee1b6c54fe0?pvs=21), 8 (https://www.notion.so/8-162258225041804592d7c95745223f55?pvs=21), 9 (https://www.notion.so/9-16225822504180ac880ef95031047378?pvs=21)",800,800,800,0,0,0,0,0,0,0,0,800,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),9,Lakers Brasil (https://www.notion.so/Lakers-Brasil-eb6ad6f82fe24bcd8aa6972cfccc2ba1?pvs=21),1,,Sports betting,12,2,10,https://lakersbrasil.com/apostas/novas-casas-de-apostas/
Palpites Lakers match,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-1622582250418188a4e9fcc253af8012?pvs=21), 2 (https://www.notion.so/2-162258225041815c8669ddfd46331775?pvs=21), 3 (https://www.notion.so/3-16225822504181c5bd1aebad8f90ecc6?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),3,Lakers Brasil (https://www.notion.so/Lakers-Brasil-eb6ad6f82fe24bcd8aa6972cfccc2ba1?pvs=21),0,Tips,Sports betting,60,736,54,https://lakersbrasil.com/apostas/palpites-nba/
Palpites NBA de hoje,https://www.notion.so/2c6258225041806a84e3d2b1e4b47bb9,"1 (https://www.notion.so/1-1622582250418108ac9cf92927d499b8?pvs=21), 2 (https://www.notion.so/2-1622582250418168a35efdcf1969d5ea?pvs=21), 3 (https://www.notion.so/3-16225822504181919ec0ee2bebed6192?pvs=21), 4 (https://www.notion.so/4-162258225041810c96e2c8aa34a01795?pvs=21), 5 (https://www.notion.so/5-1622582250418174bdbff4032b28be4a?pvs=21)",1000,700,450,0,0,0,0,0,0,0,0,1050,0,Brazil (https://www.notion.so/Brazil-16125822504180ebbde2cd2d3093abaa?pvs=21),5,Lakers Brasil (https://www.notion.so/Lakers-Brasil-eb6ad6f82fe24bcd8aa6972cfccc2ba1?pvs=21),2,Tips,Sports betting,210,"9,126",830,https://lakersbrasil.com/apostas/palpites-nba-hoje/
Apostas na Liga Portugal,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-162258225041818ea153e21f268a8603?pvs=21), 2 (https://www.notion.so/2-16225822504181cf8c79ea34805bba67?pvs=21), 3 (https://www.notion.so/3-16225822504181fa8caef1bf109b28c2?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),3,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),0,Competition,Sports betting,103,,11,https://observador.pt/prognosticos/apostas-liga-portugal/
Apps de Apostas,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-1622582250418163aadcea53083a7a63?pvs=21), 2 (https://www.notion.so/2-16225822504181c8a0f1c91f1016cc24?pvs=21), 3 (https://www.notion.so/3-1622582250418178a56cd1afd59101fc?pvs=21), 4 (https://www.notion.so/4-16225822504181d6b64be15e2933946b?pvs=21), 5 (https://www.notion.so/5-1622582250418102a106e19c1b19f858?pvs=21), 6 (https://www.notion.so/6-1622582250418165ab15d10d94c4e4f1?pvs=21), 7 (https://www.notion.so/7-16225822504181d2a56df905fff10d53?pvs=21), 8 (https://www.notion.so/8-162258225041815b8cb1d4207e501012?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),8,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),0,Apps,Sports betting,209,,119,https://observador.pt/prognosticos/apps-apostas/
Apps de Casino Online,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-16225822504181e8ad60e74e0a40cacf?pvs=21), 2 (https://www.notion.so/2-1622582250418164914ef62051269972?pvs=21), 3 (https://www.notion.so/3-16225822504181feb42ac4b961922173?pvs=21), 4 (https://www.notion.so/4-16225822504181caa2dfe26419099f12?pvs=21), 5 (https://www.notion.so/5-162258225041817d93b1fbebd892dce5?pvs=21), 6 (https://www.notion.so/6-16225822504181d09d33fd4c6f06f644?pvs=21), 7 (https://www.notion.so/7-16225822504181608e10da256332eabc?pvs=21), 8 (https://www.notion.so/8-16225822504181eb87d1e4de5942c260?pvs=21), 9 (https://www.notion.so/9-16225822504180509acaef0708ad9905?pvs=21), Banner (https://www.notion.so/Banner-1c825822504180329388f0ad110c23da?pvs=21), 10 (https://www.notion.so/10-2342582250418070a6a1fdef1ccc1498?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),11,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),1,Apps,Casino,172,,556,https://observador.pt/prognosticos/melhores-apps-casino/
Aviator Portugal,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-162258225041809b8a8acd32cee5b833?pvs=21), 2 (https://www.notion.so/2-1622582250418040acc6dc3fd43f501e?pvs=21), 3 (https://www.notion.so/3-1622582250418011b916c3b2ed54c960?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),3,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),0,,Casino,406,,423,https://observador.pt/prognosticos/aviator/
Bónus de Casino,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-16225822504181e9838fd3130d856ce1?pvs=21), 2 (https://www.notion.so/2-16225822504181b8ba32ee31fffff274?pvs=21), 3 (https://www.notion.so/3-16225822504181c78713e31001dbe308?pvs=21), 4 (https://www.notion.so/4-1622582250418123bf31d63d3a1d40f3?pvs=21), 5 (https://www.notion.so/5-1622582250418141b3cbecd8d0c04e5f?pvs=21), 6 (https://www.notion.so/6-16225822504180dbbe92de4342f995d6?pvs=21), 7 (https://www.notion.so/7-16225822504180f19fddce1befb33fca?pvs=21), 8 (https://www.notion.so/8-1622582250418099b548ed7f3e12f769?pvs=21), 9 (https://www.notion.so/9-16225822504180c0aeece4d576a2a2c9?pvs=21), 10 (https://www.notion.so/10-16225822504180ee9184f4d805ead5af?pvs=21), 11 (https://www.notion.so/11-16225822504180b68fb3e60efaf47826?pvs=21), 12 (https://www.notion.so/12-16225822504180569db2df2116fca32c?pvs=21), 13 (https://www.notion.so/13-16225822504180e782d3fe5aafe3a8c6?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),13,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),0,Bonus,Casino,170,,129,https://observador.pt/prognosticos/melhores-bonus-casino/
Bónus de Natal,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-1622582250418052a734ed80f3ac1f6c?pvs=21), 2 (https://www.notion.so/2-16225822504180b0a1afd37b499e059b?pvs=21), 3 (https://www.notion.so/3-16225822504180869e81d4da09379acc?pvs=21), 4 (https://www.notion.so/4-16225822504180ca8944c32ff6cd9ff7?pvs=21), 5 (https://www.notion.so/5-16225822504180219d9cff1bfe4267a2?pvs=21), 6 (https://www.notion.so/6-16225822504180f99571ec863c13f4c8?pvs=21), 7 (https://www.notion.so/7-162258225041808096d9e26a58421014?pvs=21), 8 (https://www.notion.so/8-1622582250418094ac39f22ce39d974a?pvs=21), 9 (https://www.notion.so/9-16225822504180dfa1cbd7592162007c?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),9,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),0,Bonus,Casino,0,,2,https://observador.pt/prognosticos/bonus-de-natal/
Bónus sem Depósito para Casino Online,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-162258225041812b85f2c5851bcf9849?pvs=21), 2 (https://www.notion.so/2-16225822504181b28a26c1db284f633d?pvs=21), 3 (https://www.notion.so/3-16225822504181139778ce51f0844c65?pvs=21), 4 (https://www.notion.so/4-162258225041812692baffe42fafa392?pvs=21), 5 (https://www.notion.so/5-16225822504181d583eceab88fd6aaa3?pvs=21), 6 (https://www.notion.so/6-16225822504181788641c16c90d399ed?pvs=21), 7 (https://www.notion.so/7-16225822504181698661de06b3a6fd75?pvs=21), 8 (https://www.notion.so/8-162258225041807eb785da004ce18cae?pvs=21), 9 (https://www.notion.so/9-1622582250418020adbfc1912463c79d?pvs=21)",3100,3100,3100,0,0,0,0,0,0,0,0,1900,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),9,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),2,Bonus,Casino,"7,991",,"7,969",https://observador.pt/prognosticos/bonus-sem-deposito-casino/
Casinos com Depósito Mínimo de 1€,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-162258225041805294a8ed1c5835b9cc?pvs=21), 2 (https://www.notion.so/2-162258225041803182f6fdaeb65930bd?pvs=21), 3 (https://www.notion.so/3-16225822504180ae83b5d9dd1e309249?pvs=21), 4 (https://www.notion.so/4-16225822504180728287f1f512beacd4?pvs=21), 5 (https://www.notion.so/5-16225822504180d8891efc52fb2da2cc?pvs=21), 6 (https://www.notion.so/6-162258225041800ba697c8cfd5760242?pvs=21), 7 (https://www.notion.so/7-16225822504180848460c01b28ccdbc9?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),7,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),0,Payment,Casino,143,,142,https://observador.pt/prognosticos/casinos-deposito-minimo-1-euro/
Casinos Online que Aceitam MB Way,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-16225822504181b294adf16248cd65ad?pvs=21), 2 (https://www.notion.so/2-1622582250418130a58fd9aa53829983?pvs=21), 3 (https://www.notion.so/3-162258225041814a9851cd0babb1abde?pvs=21), 4 (https://www.notion.so/4-16225822504181e28958f3cebdb41044?pvs=21), 5 (https://www.notion.so/5-1622582250418174b47afad814afa5e7?pvs=21), 6 (https://www.notion.so/6-16225822504180888cd2cfd3aae548e1?pvs=21), 7 (https://www.notion.so/7-16225822504180ac82d3f1019773bd21?pvs=21), 8 (https://www.notion.so/8-162258225041806aa2b5dbd005a8cb9a?pvs=21), 9 (https://www.notion.so/9-1622582250418045b28adaae9e00e1bd?pvs=21), 10 (https://www.notion.so/10-1622582250418056a655cd7c738f1358?pvs=21), 11 (https://www.notion.so/11-1622582250418042b9bbdd451eb731aa?pvs=21), 12 (https://www.notion.so/12-16225822504180998557ec64d5e3f550?pvs=21), 13 (https://www.notion.so/13-16225822504180ccafe8c6668a730669?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),13,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),0,Payment,Casino,65,,36,https://observador.pt/prognosticos/casinos-online-mbway/
Crash Games,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-16225822504181edb1f1da7a579c775f?pvs=21), 2 (https://www.notion.so/2-162258225041815780bde356a1796546?pvs=21), 3 (https://www.notion.so/3-16225822504181669b07cb86769d5605?pvs=21), 4 (https://www.notion.so/4-1a4258225041806da82afb6c932e3e78?pvs=21), 5 (https://www.notion.so/5-1a425822504180929031fc72572b8d5e?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,0,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),5,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),0,,Casino,50,,72,https://observador.pt/prognosticos/casinos-com-crash-games/
Casas de Apostas,https://www.notion.so/2c625822504180e19b32d1b9e62de502,"1 (https://www.notion.so/1-16225822504181d5821ccfc3ac0376a1?pvs=21), 2 (https://www.notion.so/2-16225822504181559ba4c47b1bc36b5c?pvs=21), 3 (https://www.notion.so/3-162258225041819a9008d8eabb6d545d?pvs=21), 4 (https://www.notion.so/4-1622582250418123b04ee3bc862bafbb?pvs=21), 5 (https://www.notion.so/5-16225822504181d485ffd67a10f7ba15?pvs=21), 6 (https://www.notion.so/6-162258225041813ab3d2e54684bd872c?pvs=21), 7 (https://www.notion.so/7-1622582250418101a7e3f90fb363a0df?pvs=21), 8 (https://www.notion.so/8-1622582250418147b851dc2b3d4e1786?pvs=21), 9 (https://www.notion.so/9-16225822504181f8bf6af668a57fb824?pvs=21), 10 (https://www.notion.so/10-162258225041818da1b9f0dbf0ecc506?pvs=21)",0,0,0,0,0,0,0,0,0,0,0,1500,0,Portugal (https://www.notion.so/Portugal-1612582250418087810ecf77a924a7bc?pvs=21),10,Observador (https://www.notion.so/Observador-c076070ec10740d08926e811846418ee?pvs=21),1,,Sports betting,"2,057",,"1,743",https://observador.pt/prognosticos/melhores-casas-de-apostas/
